id,date,facility,category,sub_category,urgency,complaint_text,keywords,status,is_repeat,risk_flag,expected_role
SIM-001,2026-05-01,동탄권역 공공시설 A,주차,주차 혼잡,확인 필요,퇴근 시간대 주차장이 너무 혼잡해서 진입 차량이 오래 대기합니다,주차|혼잡|진입,검토중,true,false,시설관리 담당
SIM-002,2026-05-02,서부권역 체육시설 B,안전,시설 안전,주의,출입구 계단 바닥이 미끄럼 위험이 있어 아이들이 넘어질까 걱정됩니다,안전|미끄럼|아동|계단,접수,true,true,안전관리 담당
SIM-003,2026-05-03,이음터형 복합시설 C,CCTV/개인정보,개인정보 확인,주의,휴게 공간 CCTV 촬영 범위가 넓어 사생활 침해가 우려됩니다,CCTV|촬영|사생활,검토중,true,true,개인정보보호 담당
SIM-004,2026-05-04,공공도서관 D,시설이용,시설 이용 불편,확인 필요,열람실 냉방이 잘 되지 않아 장시간 이용이 어렵습니다,시설|이용|냉난방,조치완료,false,false,시설관리 담당
SIM-005,2026-05-05,동탄권역 공공시설 A,프로그램,프로그램 운영,일반,강좌 신청 정원이 너무 빨리 마감되어 대기 안내를 더 자세히 받고 싶습니다,프로그램|강좌|신청|대기,접수,true,false,프로그램 운영 담당
SIM-006,2026-05-06,서부권역 체육시설 B,대관,대관 예약,일반,대관 예약 변경 절차와 사용료 환불 기준이 헷갈립니다,대관|예약|변경|환불,검토중,false,false,대관 운영 담당
SIM-007,2026-05-07,이음터형 복합시설 C,환경,환경·청결,확인 필요,분리수거함 주변 쓰레기가 자주 쌓여 청결 관리가 필요합니다,쓰레기|분리수거|청결,접수,true,false,환경관리 담당
SIM-008,2026-05-08,공공도서관 D,행정안내,행정 안내,일반,운영시간 변경 공지를 홈페이지에서 찾기 어렵습니다,운영시간|공지|홈페이지,조치완료,true,false,민원안내 담당
SIM-009,2026-05-09,동탄권역 공공시설 A,주차,불법주차,주의,장애인 주차구역 주변 불법주차 차량 때문에 이동이 불편합니다,불법주차|차량|주차,접수,true,true,시설관리 담당
SIM-010,2026-05-10,서부권역 체육시설 B,안전,시설 안전,즉시 확인 필요,어린이 이용 공간 근처 난간 일부가 파손되어 즉시 확인이 필요합니다,어린이|파손|위험|안전,검토중,true,true,안전관리 담당
